,Pays,dispo_quanti,dispo_calories,dispo_proteines,TDI (%),TAS (%),population_croissance,pib_croissance,stab_croissance,Population,Pib,Stab_politique
0,Afghanistan,1.53,5.0,0.54,50.877192982456144,49.122807017543856,33.931,29.638,16.183,36296113.0,2058.4,-2.8
1,Afrique du Sud,35.69,143.0,14.11,24.268177525967893,78.7063267233239,16.063,9.757,-227.273,57009756.0,13860.3,-0.28
2,Albanie,16.36,85.0,6.26,80.85106382978722,27.659574468085108,-4.938,26.207,-290.0,2884169.0,12771.0,0.38
3,Algérie,6.38,22.0,1.97,0.7220216606498195,99.27797833935018,21.138,10.47,-20.0,41389189.0,11737.4,-0.92
4,Allemagne,19.47,71.0,7.96,48.4186313973548,87.0615296147211,1.699,11.559,-41.0,82658409.0,53071.5,0.59
5,Angola,10.56,35.0,3.6,86.83385579937304,13.166144200626958,42.627,-6.632,-43.284,29816766.0,7310.9,-0.38
6,Arabie saoudite,43.36,151.0,15.57,50.31358885017422,42.926829268292686,31.434,4.336,36.17,33101179.0,47306.2,-0.64
7,Argentine,42.24,182.0,13.53,0.40774719673802245,110.1427115188583,10.717,2.136,70.0,43937140.0,23597.1,0.17
8,Arménie,16.06,54.0,5.44,74.46808510638297,23.404255319148938,0.415,15.74,-513.333,2944791.0,12115.1,-0.62
9,Australie,47.65,192.0,16.6,1.3663535439795047,108.36891545687446,17.538,7.084,-3.226,24584620.0,48398.5,0.9
10,Bahamas,43.17,182.0,14.61,92.3076923076923,23.076923076923077,13.15,-8.658,35.616,381755.0,35911.7,0.99
11,Barbade,46.78,199.0,15.33,11.76470588235294,88.23529411764706,2.703,-6.764,-6.731,286232.0,15800.4,0.97
12,Belize,25.69,110.0,8.26,0.0,105.26315789473684,25.665,-2.709,-78.947,375769.0,7140.9,0.04
13,Bolivie (État plurinational de),36.0,155.0,11.43,0.2331002331002331,124.24242424242425,17.099,32.632,-67.059,11192855.0,8423.7,-0.28
14,Bosnie-Herzégovine,16.7,56.0,5.66,18.181818181818183,110.9090909090909,-10.93,23.016,-44.444,3351525.0,13753.8,-0.35
15,Botswana,3.39,12.0,1.19,42.857142857142854,71.42857142857143,17.575,9.114,-3.774,2205080.0,15948.0,1.02
16,Bulgarie,22.06,81.0,8.74,68.78980891719745,68.15286624203821,-6.259,21.267,-8.333,7102444.0,21469.9,0.33
17,Burkina Faso,2.27,8.0,0.77,0.0,100.0,34.67,24.575,-400.0,19193234.0,2044.4,-0.93
18,Bélarus,27.98,95.0,9.41,7.9245283018867925,174.7169811320755,-0.319,15.137,-114.706,9450231.0,18356.1,-0.05
19,Bénin,14.4,37.0,4.98,76.3975155279503,11.180124223602485,32.176,11.186,-92.308,11175198.0,3044.5,0.03
20,Cabo Verde,17.62,62.0,6.52,120.0,10.0,13.143,4.761,-12.5,537498.0,6643.2,0.77
21,Cambodge,2.34,11.0,0.74,26.31578947368421,73.68421052631578,17.028,48.769,-125.0,16009409.0,3928.4,0.09
22,Cameroun,3.16,11.0,1.07,0.0,98.78048780487805,31.157,18.804,233.333,24566073.0,3665.1,-1.1
23,Canada,39.02,154.0,13.86,12.70062805303559,98.8834612700628,11.543,4.83,8.911,36732095.0,48317.2,1.1
24,Chili,36.36,153.0,12.21,23.065476190476193,105.95238095238095,11.738,21.134,2.439,18470439.0,24411.5,0.42
25,Chine - RAS de Macao,34.47,142.0,11.9,121.05263157894737,15.789473684210526,23.404,30.396,210.87,622585.0,126144.0,1.43
26,Chypre,25.08,91.0,9.58,36.84210526315789,65.78947368421053,10.902,-5.05,0.0,1179678.0,38288.0,0.54
27,Colombie,31.99,111.0,9.57,4.747413268411442,95.19172245891662,11.826,23.145,-57.222,48909839.0,14171.3,-0.77
28,Congo,21.53,72.0,7.45,94.54545454545455,6.363636363636363,31.851,107.802,-31.169,5110695.0,4234.7,-0.53
29,Costa Rica,26.52,92.0,7.93,12.686567164179104,99.25373134328358,12.381,29.536,5.172,4949954.0,20347.0,0.61
30,Croatie,10.77,37.0,4.06,53.333333333333336,135.55555555555557,-4.116,3.059,15.0,4182857.0,27154.1,0.69
31,Côte d'Ivoire,2.53,8.0,0.86,10.76923076923077,89.23076923076924,27.469,32.718,-40.761,24437470.0,4830.8,-1.09
32,Danemark,28.98,112.0,12.97,79.64071856287424,103.59281437125749,4.796,4.232,-22.321,5732274.0,55356.7,0.87
33,Dominique,35.19,150.0,11.52,100.0,0.0,0.937,-6.062,51.899,71458.0,11341.3,1.2
34,El Salvador,20.43,71.0,6.25,12.213740458015266,103.81679389312977,4.624,14.356,2500.0,6388126.0,8454.1,-0.26
35,Espagne,30.39,105.0,12.47,13.694054776219106,101.20240480961924,2.682,0.537,-200.0,46647428.0,39528.9,0.28
36,Estonie,21.26,86.0,7.27,72.41379310344827,68.96551724137932,-1.853,14.005,3.175,1319390.0,33821.9,0.65
37,Eswatini,6.46,22.0,2.23,28.57142857142857,85.71428571428571,7.879,16.3,-640.0,1124805.0,8408.0,-0.27
38,Fidji,28.02,97.0,9.44,11.538461538461538,88.46153846153845,4.935,27.454,933.333,877459.0,13429.3,0.62
39,Finlande,18.76,68.0,7.87,14.414414414414415,116.21621621621621,4.033,-2.557,-27.517,5511371.0,47570.1,1.08
40,France,22.9,92.0,8.95,32.16783216783217,111.25238397965671,4.806,3.183,-50.0,64842509.0,44577.1,0.28
41,Gabon,29.33,99.0,10.59,97.43589743589743,5.128205128205128,40.219,4.377,-133.333,2064823.0,15006.8,-0.1
42,Ghana,7.24,16.0,2.26,71.56398104265402,28.436018957345972,26.814,47.454,-228.571,29121465.0,5115.9,0.09
43,Grenade,45.7,192.0,15.5,87.5,12.5,5.404,11.522,165.789,110874.0,16217.5,1.01
44,Grèce,15.32,53.0,6.32,44.38202247191011,138.20224719101125,-4.954,-24.119,-113.462,10569450.0,28604.9,-0.07
45,Guatemala,20.58,71.0,6.11,36.134453781512605,65.82633053221288,23.464,13.032,-13.333,16914970.0,8322.2,-0.65
46,Guinée,4.08,14.0,1.42,74.0,26.0,26.784,27.872,-70.833,12067519.0,2417.8,-0.7
47,Guinée-Bissau,2.16,7.0,0.74,100.0,75.0,29.514,13.227,8.696,1828145.0,1925.2,-0.5
48,Guyana,38.34,165.0,12.33,0.0,96.875,3.851,82.342,-92.857,775222.0,12005.4,-0.04
